S.No.,Country,Annual,,
,,2022/23R,2023/24R,2024/25P
,a) Institutional and Individual (New and Legalized ),,,
1,UAE,59152,131026,201148
2,Saudi Arabia,55791,73095,77247
3,Qatar,40517,40932,49178
4,Kuwait,31410,28776,38480
5,Romania,13137,12700,22373
6,Japan,5839,10500,18744
7,South Korea*,21870,12837,13735
8,Maldives,3994,5958,7920
9,Cyprus,4275,5930,7525
10,Bahrain,3952,5116,6540
11,Oman,2716,2905,5293
12,Jordan,621,1976,1808
13,Malta,5603,4766,2689
14,Turkey,115,275,1589
15,Malaysia,219357,81382,10219
16,Poland,4915,1649,313
17,Israel,786,333,788
18,Afghanistan,0,28,7
19,Lebanon,7,14,26
20,Other,20167,39904,40335