S.N.,Heading,2022/23R,2023/24R,2024/25P
,,Annual,Annual,Annual
1,Petroleum Products,309877,300650.7,287788.2
2,Crude Soyabean Oil,35670.9,13444.6,108002.3
3,"Transport Equip, Vehicle & Other Vehicle Spare Parts",61799.8,78010.5,96223.6
4,Other Machinery and Parts,72946.8,78851.9,82283.8
5,Ferrous products obtained by direct reduction of iron (Sponge Iron),43601.8,39026.7,48766
6,Medicine,47658.4,45904,46355.2
7,Telecommunication Equipments and Parts,36402.2,37137.1,43576.4
8,Rice/Paddy,36404.3,22098.3,39817.5
9,Readymade Garments,24480.2,33263.5,38859.9
10,Electrical Equipment,31821.4,38677,34431
11,Textiles,26002.6,30924.4,32925
12,Chemical Fertilizer,40691.2,36431.7,31197.4
13,Edible Oil,18711.7,18238.8,29624.9
14,Hot rolled sheet in coil,37065.3,20711.8,27649.5
15,Coal,31181.1,25536.4,25571.7
16,Electrical Goods,18273.9,21182.9,24315.8
17,Thread,22933.9,20150.4,23439.1
18,Gold,43886.4,25934.7,19925.7
19,Chemical,16094.9,15701.2,18733.9
20,"M.S. Wire Rod, Bars, Coils & Others",9512,9939.5,15949.7
B.,Others,646715.9,681169.5,728685.9